,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
38,0.886,0.778,1,-8.549,1,0.172,0.0317,0.0175,0.076,0.556,119.573,4
39,0.656,0.835,4,-12.399,1,0.0603,0.138,0.32,0.0718,0.47,120.496,4
40,0.803,0.743,9,-10.065,1,0.069,0.00097,0.503,0.0581,0.488,121.017,2
41,0.751,0.87,1,-8.894,0,0.0517,9.1e-06,0.911,0.0681,0.647,124.697,2
42,0.849,0.448,10,-15.46,0,0.195,0.0265,0.888,0.0808,0.702,124.035,2
43,0.634,0.893,11,-7.432,1,0.0403,0.0619,0.00142,0.161,0.667,124.621,4
44,0.7,0.849,11,-6.561,0,0.129,0.00601,0.0193,0.284,0.449,130.988,3
45,0.68,0.497,9,-12.626,0,0.052,0.0967,0.901,0.078,0.67,114.811,2
46,0.711,0.604,5,-8.675,0,0.0532,0.000882,0.818,0.0859,0.526,127.001,2
47,0.704,0.722,2,-10.815,0,0.0446,0.0287,0.00341,0.297,0.859,129.992,3
48,0.619,0.862,6,-12.457,1,0.077,0.0258,0.838,0.158,0.761,127.049,2
49,0.785,0.855,11,-7.425,0,0.0678,0.00842,0.00222,0.148,0.805,123.664,3
50,0.76,0.906,2,-6.739,0,0.0563,0.0029,0.925,0.0841,0.444,125.988,2
51,0.72,0.678,1,-11.05,1,0.0445,0.000105,0.897,0.0501,0.652,122.649,2
52,0.734,0.882,1,-6.475,1,0.0363,0.0318,0.296,0.041,0.729,126.974,4
53,0.754,0.859,8,-8.525,0,0.0536,0.0171,0.0116,0.0468,0.742,123.205,3
54,0.639,0.952,1,-5.905,1,0.0364,0.114,0.00267,0.0415,0.787,129.845,4
55,0.668,0.881,10,-7.344,0,0.0408,0.000567,0.925,0.0947,0.617,119.898,2
56,0.577,0.981,9,-10.328,1,0.0505,0.00303,0.42,0.751,0.172,126.009,6
57,0.689,0.505,6,-13.846,1,0.0867,0.0133,0.818,0.345,0.564,123.948,2
58,0.789,0.81,10,-7.859,0,0.0673,0.00169,0.414,0.033,0.695,119.796,3
59,0.714,0.593,4,-16.222,0,0.0692,2.95e-05,0.922,0.0655,0.316,124.889,2
60,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,5
61,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,4
62,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,3
63,0.66,0.629,5,-12.359,1,0.0387,0.432,7.3e-05,0.172,0.324,111.926,5
64,0.502,0.305,9,-16.011,1,0.0339,0.484,3.55e-06,0.117,0.248,131.242,5
65,0.575,0.643,2,-8.854,0,0.0331,0.136,1.65e-06,0.249,0.789,152.854,3
66,0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993,6
67,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,3
68,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
69,0.685,0.858,8,-6.496,1,0.0348,0.104,0.000119,0.147,0.692,92.305,4
70,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,3
71,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,4
72,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,3
73,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,4
74,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4
75,0.64,0.852,1,-8.119,0,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,3
76,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
77,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852,6
78,0.917,0.588,10,-11.047,1,0.0607,0.195,0.0,0.0914,0.828,110.077,4
79,0.7,0.781,6,-8.255,0,0.0507,0.0874,0.00342,0.059,0.385,108.695,3
80,0.654,0.743,10,-7.44,0,0.0605,0.0125,0.0272,0.153,0.632,114.846,3
81,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4
82,0.431,0.723,8,-5.887,1,0.0568,0.145,0.0,0.374,0.19,130.141,6
83,0.783,0.836,0,-9.223,0,0.0486,0.396,0.0236,0.135,0.831,108.966,3
84,0.681,0.893,7,-8.485,1,0.0378,6.47e-05,0.383,0.0626,0.951,130.475,4
85,0.712,0.549,5,-9.484,1,0.0254,0.011,0.0,0.118,0.552,109.882,4
86,0.762,0.8,3,-6.244,0,0.0449,0.027,5.83e-05,0.17,0.9,138.823,3
87,0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,4
88,0.437,0.94,9,-6.946,1,0.0426,0.0524,0.000573,0.222,0.48,151.417,4
89,0.677,0.616,10,-13.826,1,0.032,0.458,0.0132,0.349,0.851,114.223,4
90,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388,5
91,0.616,0.685,9,-15.289,0,0.04,0.0245,1.13e-05,0.0491,0.895,150.055,3
92,0.748,0.414,2,-15.15,0,0.0405,0.069,0.0671,0.336,0.239,97.646,3
93,0.415,0.38,9,-8.252,1,0.0423,0.33,7.68e-05,0.148,0.102,114.735,5
94,0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,4
95,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698,3
96,0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093,4
97,0.489,0.483,9,-9.466,0,0.0275,0.42,0.0028,0.236,0.333,136.822,3
98,0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168,4
99,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,3
100,0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,3
101,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,3
102,0.661,0.552,10,-12.385,1,0.0337,0.214,0.0,0.206,0.928,92.056,4
103,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,6
104,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,4
105,0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,6
106,0.439,0.422,8,-17.227,1,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,5
107,0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,4
108,0.286,0.5,1,-14.281,0,0.0357,0.134,4.57e-05,0.108,0.443,99.162,5
109,0.564,0.911,2,-5.39,1,0.0536,0.159,4.36e-05,0.118,0.582,173.938,4
110,0.659,0.846,7,-5.508,1,0.0274,0.0318,0.0144,0.203,0.659,107.01,4
111,0.638,0.988,1,-5.042,1,0.0921,0.0302,1.16e-05,0.371,0.723,117.955,6
112,0.513,0.262,0,-16.875,1,0.0276,0.313,5.51e-06,0.456,0.357,108.383,5
113,0.533,0.783,7,-10.61,1,0.0366,0.0116,0.0565,0.186,0.726,124.874,4
114,0.832,0.544,6,-12.697,1,0.0442,0.201,0.000139,0.632,0.928,119.49,6
115,0.365,0.513,7,-13.034,0,0.0357,0.0208,0.000147,0.205,0.739,80.647,3
116,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024,4
117,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,4
118,0.764,0.887,11,-3.726,1,0.0744,0.0816,0.00011,0.847,0.72,118.427,6
119,0.688,0.684,9,-5.181,0,0.032,0.0757,0.000832,0.0441,0.96,119.193,3
120,0.649,0.618,9,-10.728,1,0.0265,0.596,1.46e-06,0.192,0.667,114.688,4
121,0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,4
122,0.778,0.719,4,-9.698,1,0.0345,0.0123,0.0262,0.297,0.729,115.4,4
123,0.584,0.897,0,-6.485,1,0.0359,0.297,0.0329,0.7,0.577,106.075,6
124,0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231,3
125,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,4
126,0.636,0.264,6,-14.567,0,0.0263,0.593,4.22e-05,0.275,0.264,99.304,5
127,0.753,0.427,0,-11.112,1,0.0387,0.00787,0.00065,0.058,0.295,119.18,4
128,0.513,0.591,1,-6.407,0,0.0274,0.405,0.0,0.126,0.173,130.167,3
129,0.643,0.802,6,-4.92,1,0.0227,0.0299,0.0,0.0719,0.53,95.99,4
130,0.798,0.747,11,-5.034,1,0.0485,0.139,0.0,0.0962,0.749,124.286,4
131,0.637,0.333,3,-9.603,1,0.0262,0.181,0.0,0.147,0.588,84.347,5
132,0.726,0.488,2,-15.48,1,0.0329,0.0495,0.177,0.0729,0.826,121.055,4
133,0.796,0.496,7,-8.23,1,0.0499,0.018,0.169,0.277,0.19,120.011,4
134,0.868,0.788,1,-4.321,1,0.0547,0.0334,2.6e-05,0.0801,0.961,114.674,4
135,0.796,0.892,0,-7.87,1,0.0928,0.00574,0.038,0.068,0.891,123.17,4
136,0.671,0.728,2,-9.78,0,0.0403,0.000372,0.00391,0.385,0.488,118.031,3
137,0.869,0.682,1,-6.716,1,0.0327,0.179,0.0073,0.135,0.972,121.335,4
138,0.934,0.636,6,-10.19,0,0.0489,0.000115,8.02e-05,0.0403,0.947,125.821,3
139,0.698,0.686,1,-11.278,0,0.0338,0.133,0.0439,0.0753,0.926,110.068,3
140,0.822,0.709,10,-6.808,0,0.0412,0.0231,0.00703,0.0736,0.829,120.01,3
141,0.709,0.798,1,-7.31,0,0.0438,0.0112,0.775,0.0653,0.399,121.814,2
142,0.804,0.881,0,-4.369,1,0.0389,0.0856,0.0384,0.0522,0.96,120.067,4
143,0.804,0.858,6,-7.032,0,0.0438,0.00937,0.848,0.0635,0.0767,112.001,2
144,0.926,0.78,4,-6.295,0,0.091,0.186,3.05e-06,0.0933,0.72,114.542,3
145,0.975,0.57,6,-10.604,0,0.0481,0.0071,0.28,0.072,0.968,126.908,3
146,0.796,0.891,2,-4.147,0,0.035,0.296,0.0,0.151,0.654,130.032,3
147,0.809,0.6,4,-10.132,0,0.0475,0.173,0.69,0.101,0.862,122.992,2
148,0.829,0.843,4,-6.357,0,0.0336,0.219,0.0,0.151,0.97,118.811,3
149,0.703,0.737,5,-11.047,0,0.0552,0.00756,0.719,0.198,0.368,119.979,2
150,0.725,0.905,0,-7.875,0,0.0381,0.441,0.926,0.102,0.79,111.137,2
151,0.784,0.718,4,-8.473,0,0.0307,0.0691,9.91e-06,0.571,0.934,107.195,6
152,0.814,0.577,5,-9.888,0,0.0333,0.314,0.00304,0.28,0.855,122.964,3
153,0.855,0.461,4,-13.398,0,0.0638,0.0519,0.818,0.0801,0.752,119.058,2
154,0.737,0.586,0,-10.219,0,0.042,0.0605,0.515,0.0632,0.894,119.364,3
155,0.733,0.558,8,-11.825,1,0.0531,0.000678,0.89,0.0936,0.652,121.005,2
156,0.63,0.727,7,-7.341,0,0.0502,0.0263,0.000117,0.32,0.82,118.182,3
157,0.629,0.833,1,-8.925,1,0.0388,0.0373,0.138,0.28,0.806,111.657,4
158,0.607,0.861,7,-7.271,1,0.0545,0.000802,0.812,0.108,0.373,123.965,2
159,0.535,0.969,0,-5.296,1,0.0456,0.022,0.788,0.545,0.936,123.016,6
160,0.925,0.675,2,-11.431,0,0.0468,0.227,3.22e-05,0.0535,0.883,114.846,3
161,0.877,0.418,0,-15.113,1,0.0521,0.00655,0.0382,0.148,0.77,125.851,4
162,0.78,0.935,9,-7.014,0,0.0608,0.00458,0.301,0.0288,0.937,121.979,3
163,0.732,0.733,11,-8.201,0,0.0913,0.000738,0.923,0.1,0.348,119.984,2
164,0.66,0.727,2,-11.367,1,0.0406,0.00563,0.361,0.112,0.424,122.989,4
165,0.694,0.872,5,-7.217,0,0.0415,0.0389,0.0302,0.362,0.89,110.468,3
166,0.944,0.73,9,-9.527,0,0.0457,0.162,0.000699,0.114,0.864,128.967,3
167,0.704,0.818,8,-9.377,1,0.0444,0.0708,0.801,0.102,0.852,123.312,2
168,0.713,0.551,2,-8.078,1,0.0317,0.0251,0.224,0.0956,0.686,127.225,4
169,0.608,0.621,10,-11.547,1,0.0276,0.143,0.00096,0.0552,0.53,119.707,4
170,0.82,0.553,0,-15.118,1,0.041,0.481,0.301,0.0463,0.711,110.57,4
171,0.802,0.864,1,-6.768,0,0.0848,0.277,0.00605,0.0554,0.944,127.11,3
172,0.896,0.339,11,-9.576,0,0.0884,0.0183,0.552,0.0311,0.389,122.106,2
173,0.675,0.903,0,-9.385,1,0.048,0.0918,0.855,0.688,0.714,114.998,6
174,0.739,0.766,7,-7.838,1,0.127,0.183,0.0,0.104,0.814,128.023,4
175,0.669,0.882,5,-7.011,1,0.0454,0.000865,0.704,0.0609,0.961,124.003,4
176,0.843,0.732,6,-11.351,0,0.0433,0.0201,0.156,0.357,0.737,122.639,3
177,0.707,0.731,9,-7.592,0,0.0328,0.114,0.0217,0.28,0.924,123.088,3
178,0.764,0.688,7,-5.56,0,0.0486,0.00524,0.315,0.104,0.696,119.968,3
179,0.763,0.826,11,-9.075,0,0.0342,0.000191,0.0651,0.0868,0.865,122.533,3
180,0.619,0.948,5,-6.641,0,0.0432,0.00219,0.22,0.199,0.82,123.016,3
181,0.803,0.718,5,-8.289,1,0.0336,0.00946,0.0622,0.103,0.781,119.734,4
182,0.755,0.762,10,-9.103,1,0.0548,0.0925,0.00251,0.033,0.874,116.392,4
183,0.803,0.864,7,-6.274,1,0.043,0.0203,0.947,0.118,0.279,123.002,2
184,0.881,0.706,2,-7.252,1,0.114,0.126,0.000269,0.127,0.663,115.185,4
185,0.687,0.661,9,-13.11,0,0.0275,0.0147,0.0449,0.216,0.804,114.817,3
186,0.707,0.826,6,-9.996,0,0.067,0.00183,0.894,0.661,0.264,124.006,6
187,0.605,0.866,5,-9.958,0,0.0448,4.16e-05,0.554,0.163,0.918,114.998,3
188,0.672,0.869,5,-4.118,0,0.0378,0.00723,0.136,0.0816,0.663,120.004,3
189,0.666,0.543,7,-13.673,1,0.0324,0.0125,0.747,0.078,0.845,119.526,2
190,0.606,0.487,10,-14.751,0,0.0605,0.52,0.00172,0.0663,0.585,192.44,3
191,0.893,0.841,0,-7.729,0,0.159,0.0643,0.036,0.18,0.694,115.293,3
192,0.853,0.478,9,-9.088,0,0.072,0.0148,0.578,0.218,0.264,122.027,2
193,0.728,0.848,5,-10.254,0,0.0331,0.0266,0.0252,0.349,0.921,124.054,3
194,0.655,0.939,4,-6.649,0,0.0972,0.00145,0.12,0.108,0.581,108.986,3
195,0.628,0.859,7,-8.233,0,0.0399,0.000578,0.405,0.348,0.46,119.997,3
196,0.491,0.963,5,-5.169,1,0.0462,0.0123,0.858,0.0669,0.845,120.005,2
197,0.797,0.59,4,-12.895,0,0.098,0.00342,0.902,0.0718,0.435,131.445,2
198,0.799,0.835,11,-8.804,0,0.0866,0.0228,0.837,0.0753,0.628,115.997,2
199,0.639,0.976,2,-6.746,1,0.0578,0.0965,0.806,0.0982,0.9,112.989,2
200,0.924,0.536,5,-11.069,0,0.0576,0.0839,0.0501,0.079,0.839,115.982,3
201,0.78,0.6,10,-14.81,0,0.0463,0.0122,0.703,0.201,0.809,116.613,2
202,0.708,0.606,4,-13.832,0,0.0506,0.293,0.262,0.0889,0.804,108.206,3
203,0.747,0.835,2,-6.397,1,0.0543,0.049,0.267,0.132,0.961,128.394,4
204,0.727,0.821,7,-8.248,0,0.0415,0.0565,0.847,0.0916,0.594,118.998,2
205,0.771,0.538,11,-12.821,0,0.0471,0.385,0.592,0.19,0.874,115.854,2
206,0.83,0.805,1,-8.468,1,0.0456,0.0581,0.485,0.0778,0.883,125.151,4
207,0.726,0.814,9,-7.561,0,0.0322,0.102,1.18e-05,0.093,0.97,125.932,3
208,0.936,0.564,0,-5.902,1,0.0471,0.0452,0.0247,0.0377,0.921,125.996,4
209,0.7,0.677,1,-10.888,1,0.0328,0.121,0.0609,0.107,0.608,122.964,4
210,0.805,0.762,1,-8.266,0,0.0313,0.296,0.0396,0.143,0.926,113.072,3
211,0.93,0.688,11,-10.294,0,0.0507,0.0417,0.00698,0.0351,0.878,122.491,3
212,0.742,0.532,7,-16.045,1,0.0562,0.115,0.618,0.0571,0.882,119.633,2
213,0.655,0.857,7,-7.868,1,0.0361,0.0253,0.859,0.106,0.19,123.991,2
214,0.797,0.838,0,-9.847,1,0.0363,0.0387,0.00187,0.0774,0.787,121.855,4
215,0.791,0.513,0,-15.03,1,0.0264,0.109,0.00922,0.076,0.97,108.361,4
216,0.662,0.933,8,-9.77,1,0.0665,0.0166,0.224,0.247,0.896,113.784,4
217,0.853,0.331,8,-17.22,1,0.0529,0.000494,0.61,0.0713,0.804,119.627,2
218,0.558,0.892,10,-6.451,0,0.0454,0.000454,0.788,0.177,0.829,128.825,2
219,0.685,0.655,5,-11.046,1,0.0499,0.0167,0.363,0.07,0.816,122.003,4
220,0.706,0.844,5,-10.065,1,0.0356,0.0301,0.678,0.106,0.526,119.246,2
221,0.779,0.635,2,-8.028,0,0.0282,0.577,0.000258,0.215,0.53,108.018,3
222,0.72,0.699,7,-9.382,1,0.0687,0.0197,0.37,0.0568,0.446,119.517,4
223,0.518,0.731,0,-7.722,0,0.0347,0.000209,0.927,0.112,0.201,120.022,2
224,0.71,0.912,11,-6.505,0,0.148,0.004,0.00331,0.321,0.831,128.927,3
225,0.757,0.902,11,-5.877,0,0.0406,0.00054,0.84,0.0992,0.486,121.985,2
226,0.697,0.614,5,-11.818,0,0.0333,0.029,0.00364,0.281,0.801,117.212,3
227,0.789,0.505,1,-12.499,1,0.104,0.171,0.226,0.123,0.208,100.119,4
228,0.602,0.754,6,-13.201,0,0.0338,0.0129,0.878,0.0486,0.966,127.454,2
229,0.662,0.78,1,-9.169,0,0.0569,0.000533,0.962,0.0967,0.869,121.995,2
230,0.852,0.715,0,-5.626,1,0.0479,0.00404,0.854,0.074,0.751,119.995,2
231,0.73,0.93,0,-7.409,0,0.0336,0.16,0.00294,0.0485,0.961,108.73,3
232,0.794,0.635,9,-9.697,1,0.039,0.0613,0.00308,0.0962,0.35,117.995,4
233,0.708,0.793,5,-5.426,0,0.0342,0.0136,0.00221,0.118,0.734,122.006,3
234,0.736,0.868,9,-6.003,0,0.141,0.13,0.00186,0.361,0.597,102.049,3
235,0.688,0.729,4,-6.56,0,0.0573,0.437,0.00369,0.0928,0.469,110.055,3
236,0.78,0.417,2,-11.365,1,0.0363,0.113,0.00227,0.37,0.283,120.042,4
237,0.683,0.822,5,-4.984,0,0.095,0.468,0.000308,0.186,0.155,119.054,3
238,0.676,0.528,4,-12.414,0,0.0486,0.0791,0.737,0.0837,0.236,95.006,2
239,0.785,0.524,3,-8.334,0,0.042,0.112,0.00143,0.0868,0.349,121.996,3
240,0.717,0.482,3,-8.071,1,0.0465,0.564,0.000235,0.0921,0.321,103.006,5
241,0.631,0.751,1,-6.138,0,0.0506,0.616,0.00113,0.245,0.659,80.01,3
242,0.669,0.667,2,-9.275,1,0.0549,0.139,0.00139,0.122,0.176,120.045,4
243,0.759,0.8,2,-6.905,1,0.0367,0.195,0.00866,0.453,0.301,109.988,6
244,0.678,0.699,8,-10.229,1,0.04,0.33,0.142,0.107,0.217,106.991,4
245,0.772,0.427,4,-9.576,0,0.0437,0.495,0.724,0.108,0.0368,99.995,2
246,0.432,0.874,7,-5.558,1,0.0462,0.0732,6.14e-06,0.371,0.374,103.85,6
247,0.723,0.422,5,-7.55,0,0.0302,0.134,0.0,0.31,0.557,113.064,3
248,0.743,0.459,8,-12.945,1,0.0464,0.524,0.882,0.128,0.305,103.008,2
249,0.756,0.535,1,-9.251,0,0.0563,0.0471,0.000122,0.145,0.374,100.029,3
250,0.798,0.594,10,-7.574,1,0.0758,0.433,0.000864,0.147,0.714,117.006,4
251,0.608,0.926,9,-4.946,0,0.0286,0.0216,0.106,0.116,0.365,113.017,3
252,0.59,0.664,0,-7.457,0,0.0301,0.0673,0.0,0.0644,0.175,118.006,3
253,0.689,0.63,1,-6.636,1,0.0554,0.523,0.000216,0.313,0.341,124.033,4
254,0.793,0.491,1,-11.086,1,0.0449,0.48,0.00522,0.0997,0.322,110.018,5
255,0.764,0.736,4,-5.715,0,0.0336,0.00135,0.771,0.228,0.0947,120.049,2
256,0.497,0.16,2,-12.738,0,0.0498,0.889,0.233,0.135,0.0718,125.958,5
257,0.723,0.619,8,-8.191,0,0.0341,0.523,0.224,0.107,0.382,102.979,3
258,0.648,0.577,6,-9.916,0,0.144,0.895,0.0446,0.0848,0.353,97.91,5
259,0.639,0.685,9,-4.571,0,0.049,0.105,0.0,0.143,0.363,110.041,3
260,0.675,0.719,11,-6.393,0,0.0383,0.0271,0.0376,0.0939,0.391,110.388,3
261,0.636,0.474,6,-12.56,1,0.0438,0.65,0.898,0.0874,0.461,110.033,2
262,0.776,0.593,7,-10.535,1,0.252,0.327,0.00616,0.186,0.247,94.97,1
263,0.771,0.616,7,-7.702,1,0.0395,0.00872,0.0012,0.076,0.499,120.008,4
264,0.787,0.73,10,-7.177,1,0.0334,0.0422,0.0318,0.0635,0.398,120.013,4
265,0.697,0.785,1,-4.78,0,0.0276,0.00706,2.59e-05,0.378,0.414,122.028,3
266,0.75,0.666,2,-8.63,1,0.036,0.000258,0.849,0.0812,0.529,112.005,2
267,0.737,0.558,7,-7.596,0,0.0275,0.225,0.106,0.124,0.416,97.992,3
268,0.589,0.613,0,-5.034,1,0.0327,0.568,0.0,0.0675,0.19,114.853,5
269,0.758,0.524,1,-7.974,1,0.0319,0.419,0.00422,0.131,0.604,98.99,4
270,0.709,0.557,5,-7.387,1,0.0362,0.218,0.411,0.0674,0.682,96.946,4
271,0.674,0.678,10,-8.452,0,0.0406,0.59,0.222,0.051,0.465,99.985,3
272,0.798,0.56,1,-6.574,1,0.0469,0.317,0.000292,0.133,0.571,106.971,4
273,0.735,0.576,4,-6.136,0,0.4,0.63,2.39e-05,0.077,0.532,180.036,1
274,0.698,0.794,0,-3.333,1,0.0483,0.000335,0.605,0.0622,0.861,135.981,4
275,0.492,0.753,1,-6.896,0,0.0383,0.59,0.00229,0.395,0.838,86.428,3
276,0.654,0.94,9,-6.024,1,0.0633,0.163,0.0766,0.324,0.787,118.001,4
277,0.741,0.737,5,-6.667,0,0.0348,0.077,0.0,0.408,0.835,126.024,3
278,0.374,0.571,3,-10.513,0,0.0748,0.71,0.538,0.139,0.0379,127.014,5
279,0.689,0.739,11,-8.825,1,0.0824,0.000891,0.942,0.181,0.248,119.962,2
280,0.589,0.61,5,-9.663,1,0.0921,0.152,0.000261,0.374,0.348,139.941,6
281,0.698,0.83,7,-5.421,1,0.0342,0.003,0.59,0.09,0.674,124.004,4
282,0.758,0.453,11,-9.145,1,0.0448,0.254,0.00221,0.0723,0.325,95.369,5
283,0.852,0.673,6,-10.717,1,0.0613,0.00228,0.441,0.421,0.831,127.006,6
284,0.877,0.214,2,-9.165,0,0.144,0.206,0.156,0.101,0.451,121.075,3
285,0.762,0.475,6,-11.777,0,0.0595,0.217,0.00642,0.149,0.329,134.965,3
286,0.448,0.487,6,-9.667,0,0.0547,0.525,0.000279,0.132,0.232,98.979,5
287,0.784,0.378,1,-8.925,0,0.0401,0.382,0.112,0.657,0.402,92.017,6
288,0.665,0.794,1,-4.241,0,0.0367,0.0426,0.0252,0.0976,0.613,125.003,3
289,0.754,0.597,5,-6.472,1,0.0554,0.61,0.000269,0.172,0.499,107.038,4
290,0.766,0.589,11,-11.393,1,0.061,0.0312,0.106,0.116,0.62,125.002,4
291,0.596,0.814,9,-8.481,1,0.056,0.00118,0.00286,0.102,0.255,133.203,4
